X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,GlobalID,created_user,created_date,last_edited_user,last_edited_date
-71.048839000304099,42.272549000639899,2813,3381,3381,Granite Ave opp Courtland Circle,,42.272549,-71.048839,,,0,,0,{313F835D-3970-4CD3-85FF-64C93A1A2CC2},,,,
-71.047956000265231,42.27145300036765,2814,3382,3382,Granite Ave opp Thistle Ave,,42.271453,-71.047956,,,0,,0,{4DD4FC05-05D8-4AB5-982F-92EE415752DE},,,,
-71.045251000645862,42.26635700035132,2815,3384,3384,Granite Ave opp Hope Ave,,42.266357,-71.045251,,,0,,0,{E2FF9C05-4987-4D78-A2E8-77A6B7A36EF3},,,,
-71.044602999889236,42.264975000019554,2816,3385,3385,197 Granite Ave,,42.264975,-71.044603,,,0,,0,{63EFA0AA-8A22-4F97-B50F-6B7B4CA66FCD},,,,
-71.043813999881564,42.263298000595448,2817,3386,3386,Granite Ave @ Squantum St,,42.263298,-71.043814,,,0,,0,{1AD13C45-4A9B-4C20-85D4-FBFC9FD907A0},,,,
-71.043101000099185,42.261736000105039,2818,3387,3387,Granite Ave opp Emerson Rd,,42.261736,-71.043101,,,0,,0,{483DBD7B-08A4-4CF9-B763-00F9A2250410},,,,
-71.042779998741196,42.261083999748571,2819,3388,3388,Granite Ave opp Wood St,,42.261084,-71.04278,,,0,,0,{1A0CBB9B-0E23-478E-BDAD-30651439C8D1},,,,
-71.042667999578839,42.258688000461312,2820,3389,3389,Adams St @ Hollis St,,42.258688,-71.042668,,,0,,0,{E3438588-CBC6-46EB-836B-A6EF00846A83},,,,
-71.062504999272292,42.29193700016468,2821,339,339,Dorchester Ave @ King St,,42.291937,-71.062505,,,0,,0,{D1611FAA-E564-49E3-BAE9-C2B484B3F66B},,,,
-71.039704000582859,42.257936000629158,2822,3391,3391,Adams St @ Mechanic St,,42.257936,-71.039704,,,0,,0,{199FFB0D-4011-4B84-B5F8-692DA8CCE69C},,,,
-71.037726999017792,42.257513000221387,2823,3392,3392,Adams St @ Foster Ln,,42.257513,-71.037727,,,0,,0,{17455076-39C4-41CA-BB39-E70C2C0D40D2},,,,
-71.03568799929549,42.256906999911735,2824,3393,3393,Adams St @ Pilgrim Rd,,42.256907,-71.035688,,,0,,0,{9F345DA3-A538-4B0B-9856-BCC19E7CC843},,,,
-71.033739001580471,42.256303000816075,2825,3394,3394,Adams St @ Stedman St,,42.256303,-71.033739,,,0,,0,{F152C39C-BCFD-4FEA-AB8D-0E19FE8EC579},,,,
-71.032785000399258,42.255873999504367,2826,3395,3395,Robertson St @ Adams St,,42.255874,-71.032785,,,0,,0,{9518E35A-07F0-400A-B12D-F8ACF8D10693},,,,
-71.03375399988029,42.254789000124951,2827,3396,3396,Robertson St opp Kimball St,,42.254789,-71.033754,,,0,,0,{78A8AFF0-9F2F-42D7-A484-2F10FF166148},,,,
-71.034335000173968,42.254135000054383,2828,3397,3397,77 Robertson St,,42.254135,-71.034335,,,0,,0,{6AEB41CC-1397-4D04-8BC5-4DDDFCEA4C0A},,,,
-71.035343999279092,42.252987000175665,2829,3398,3398,Robertson St @ Ballou St,,42.252987,-71.035344,,,0,,0,{AD14D227-5EEC-4647-B68A-9AC500E85514},,,,
-71.035931999521296,42.252358000817431,2830,3399,3399,Robertson St @ Quarry St,,42.252358,-71.035932,,,0,,0,{3AC71882-7C6A-4EEC-8672-A29E4BAE1259},,,,
-71.027303999965525,42.337527999925442,2831,34,34,P St @ E 2nd St,,42.337528,-71.027304,,,0,,0,{E4BC3DB4-7A5F-432E-8F66-CB322EFF363D},,,,
-71.062049999984183,42.293550999950774,2832,340,340,Dorchester Ave @ Centre St,,42.293551,-71.06205,,,0,,0,{A4F9264E-F2E6-4C2B-B2AF-7BB10E1EA359},,,,
-71.036552000171,42.251405000326791,2833,3400,3400,Willard St @ Robertson St,,42.251405,-71.036552,,,0,,0,{C8539294-C9E2-4B07-938C-034A196202FD},,,,
-71.035279999490072,42.249607999422693,2834,3401,3401,Willard St opp Rogers St,,42.249608,-71.03528,,,0,,0,{C72B6A6A-DD01-4F93-A69E-C721A85A8E96},,,,
-71.033538001536968,42.247441999572111,2835,3402,3402,Willard St @ California Ave,,42.247442,-71.033538,,,0,,0,{DB8736CA-0285-440C-AE32-DE188A5C0350},,,,
-71.032700001498284,42.246450000137159,2836,34021,34021,Willard St @ Bates Ave,,42.24645,-71.0327,,,0,,0,{C9765D02-BDBA-4EA5-A458-EB924B5C0545},,,,
-71.031821000005479,42.245430999190624,2837,3403,3403,307 Willard St,,42.245431,-71.031821,,,0,,0,{DD6F60D8-F45D-4856-9764-80656FDD0C74},,,,
